date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:37:08	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2014%20Jun%202020%2020:37:09%20GMT	http://demos.zozotheme.com/robots.txt		(from )
15:37:09	22583/22583	---M--	200	added ('OK')	text/html	date:Mon,%2021%20Mar%202016%2001:58:19%20GMT	http://demos.zozotheme.com/construction/	D:/My%20Web%20Sites/construction_lp/demos.zozotheme.com/construction/index.html	(from )
15:37:09	1150/1150	---M--	200	added ('OK')	image/x-icon	date:Thu,%2003%20Dec%202015%2004:52:13%20GMT	http://demos.zozotheme.com/construction/favicon.ico	D:/My%20Web%20Sites/construction_lp/demos.zozotheme.com/construction/favicon.ico	(from http://demos.zozotheme.com/construction/)
15:37:11	122540/122540	---M--	200	added ('OK')	text/css	date:Tue,%2007%20Jul%202015%2001:29:00%20GMT	http://demos.zozotheme.com/construction/assets/css/bootstrap.min.css	D:/My%20Web%20Sites/construction_lp/demos.zozotheme.com/construction/assets/css/bootstrap.min.css	(from http://demos.zozotheme.com/construction/)
15:37:11	14373/14373	---M--	200	added ('OK')	text/css	date:Sun,%2014%20Feb%202016%2016:44:46%20GMT	http://demos.zozotheme.com/construction/assets/css/main.css	D:/My%20Web%20Sites/construction_lp/demos.zozotheme.com/construction/assets/css/main.css	(from http://demos.zozotheme.com/construction/)
15:37:12	1455/1455	---M--	200	added ('OK')	text/css	date:Mon,%2021%20Mar%202016%2002:10:03%20GMT	http://demos.zozotheme.com/construction/assets/css/responsive.css	D:/My%20Web%20Sites/construction_lp/demos.zozotheme.com/construction/assets/css/responsive.css	(from http://demos.zozotheme.com/construction/)
15:37:12	5385/5385	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Jan%202016%2018:17:45%20GMT	http://demos.zozotheme.com/construction/assets/img/logo.png	D:/My%20Web%20Sites/construction_lp/demos.zozotheme.com/construction/assets/img/logo.png	(from http://demos.zozotheme.com/construction/)
15:37:13	22583/22583	---M--	200	added ('OK')	text/html	date:Mon,%2021%20Mar%202016%2001:58:19%20GMT	http://demos.zozotheme.com/construction/index.html	D:/My%20Web%20Sites/construction_lp/demos.zozotheme.com/construction/index-2.html	(from http://demos.zozotheme.com/construction/)
15:37:23	55919/55919	---M--	200	added ('OK')	image/jpeg	date:Sun,%2003%20Jan%202016%2014:30:09%20GMT	http://demos.zozotheme.com/construction/assets/img/services.jpg	D:/My%20Web%20Sites/construction_lp/demos.zozotheme.com/construction/assets/img/services.jpg	(from http://demos.zozotheme.com/construction/)
15:37:24	71945/71945	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Dec%202015%2018:22:26%20GMT	http://demos.zozotheme.com/construction/assets/img/abt1.jpg	D:/My%20Web%20Sites/construction_lp/demos.zozotheme.com/construction/assets/img/abt1.jpg	(from http://demos.zozotheme.com/construction/)
15:37:30	112018/112018	---M--	200	added ('OK')	image/png	date:Fri,%2027%20Nov%202015%2016:17:11%20GMT	http://demos.zozotheme.com/construction/assets/img/banner-man.png	D:/My%20Web%20Sites/construction_lp/demos.zozotheme.com/construction/assets/img/banner-man.png	(from http://demos.zozotheme.com/construction/)
15:37:33	130421/130421	---M--	200	added ('OK')	image/png	date:Sun,%2003%20Jan%202016%2014:24:54%20GMT	http://demos.zozotheme.com/construction/assets/img/ceo.png	D:/My%20Web%20Sites/construction_lp/demos.zozotheme.com/construction/assets/img/ceo.png	(from http://demos.zozotheme.com/construction/)
15:37:36	71177/71177	---M--	200	added ('OK')	image/jpeg	date:Sun,%2014%20Feb%202016%2016:43:27%20GMT	http://demos.zozotheme.com/construction/assets/img/team1.jpg	D:/My%20Web%20Sites/construction_lp/demos.zozotheme.com/construction/assets/img/team1.jpg	(from http://demos.zozotheme.com/construction/)
15:37:39	54840/54840	---M--	200	added ('OK')	image/jpeg	date:Sun,%2014%20Feb%202016%2016:43:27%20GMT	http://demos.zozotheme.com/construction/assets/img/team2.jpg	D:/My%20Web%20Sites/construction_lp/demos.zozotheme.com/construction/assets/img/team2.jpg	(from http://demos.zozotheme.com/construction/)
15:37:40	6934/6934	---M--	200	added ('OK')	image/jpeg	date:Thu,%2001%20Oct%202015%2006:13:41%20GMT	http://demos.zozotheme.com/construction/assets/img/testimonial-1.jpg	D:/My%20Web%20Sites/construction_lp/demos.zozotheme.com/construction/assets/img/testimonial-1.jpg	(from http://demos.zozotheme.com/construction/)
15:37:43	12807/12807	---M--	200	added ('OK')	image/png	date:Sun,%2003%20Jan%202016%2014:25:55%20GMT	http://demos.zozotheme.com/construction/assets/img/logo/2.png	D:/My%20Web%20Sites/construction_lp/demos.zozotheme.com/construction/assets/img/logo/2.png	(from http://demos.zozotheme.com/construction/)
15:37:43	2871/2871	---M--	200	added ('OK')	image/png	date:Sun,%2003%20Jan%202016%2014:25:57%20GMT	http://demos.zozotheme.com/construction/assets/img/logo/6.png	D:/My%20Web%20Sites/construction_lp/demos.zozotheme.com/construction/assets/img/logo/6.png	(from http://demos.zozotheme.com/construction/)
15:37:44	66907/66907	---M--	200	added ('OK')	image/jpeg	date:Sun,%2014%20Feb%202016%2016:43:33%20GMT	http://demos.zozotheme.com/construction/assets/img/team3.jpg	D:/My%20Web%20Sites/construction_lp/demos.zozotheme.com/construction/assets/img/team3.jpg	(from http://demos.zozotheme.com/construction/)
15:37:44	3328/3328	---M--	200	added ('OK')	image/png	date:Sun,%2003%20Jan%202016%2014:25:55%20GMT	http://demos.zozotheme.com/construction/assets/img/logo/3.png	D:/My%20Web%20Sites/construction_lp/demos.zozotheme.com/construction/assets/img/logo/3.png	(from http://demos.zozotheme.com/construction/)
15:37:45	2360/2360	---M--	200	added ('OK')	image/png	date:Sun,%2003%20Jan%202016%2014:25:56%20GMT	http://demos.zozotheme.com/construction/assets/img/logo/5.png	D:/My%20Web%20Sites/construction_lp/demos.zozotheme.com/construction/assets/img/logo/5.png	(from http://demos.zozotheme.com/construction/)
15:37:45	1989/1989	---M--	200	added ('OK')	image/png	date:Sun,%2003%20Jan%202016%2014:25:56%20GMT	http://demos.zozotheme.com/construction/assets/img/logo/4.png	D:/My%20Web%20Sites/construction_lp/demos.zozotheme.com/construction/assets/img/logo/4.png	(from http://demos.zozotheme.com/construction/)
15:37:46	5503/5503	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Feb%202016%2010:39:51%20GMT	http://demos.zozotheme.com/construction/assets/img/logo-footer.png	D:/My%20Web%20Sites/construction_lp/demos.zozotheme.com/construction/assets/img/logo-footer.png	(from http://demos.zozotheme.com/construction/)
15:37:47	15039/15039	---M--	200	added ('OK')	image/png	date:Sun,%2003%20Jan%202016%2014:25:53%20GMT	http://demos.zozotheme.com/construction/assets/img/logo/1.png	D:/My%20Web%20Sites/construction_lp/demos.zozotheme.com/construction/assets/img/logo/1.png	(from http://demos.zozotheme.com/construction/)
15:37:48	78586/78586	---M--	200	added ('OK')	image/jpeg	date:Sun,%2014%20Feb%202016%2016:43:44%20GMT	http://demos.zozotheme.com/construction/assets/img/team4.jpg	D:/My%20Web%20Sites/construction_lp/demos.zozotheme.com/construction/assets/img/team4.jpg	(from http://demos.zozotheme.com/construction/)
15:37:53	23890/23890	---M--	200	added ('OK')	application/javascript	date:Fri,%2014%20Aug%202015%2010:20:46%20GMT	http://demos.zozotheme.com/construction/assets/js/owl.carousel.min.js	D:/My%20Web%20Sites/construction_lp/demos.zozotheme.com/construction/assets/js/owl.carousel.min.js	(from http://demos.zozotheme.com/construction/)
15:37:54	36816/36816	---M--	200	added ('OK')	application/javascript	date:Fri,%2014%20Aug%202015%2010:20:46%20GMT	http://demos.zozotheme.com/construction/assets/js/bootstrap.min.js	D:/My%20Web%20Sites/construction_lp/demos.zozotheme.com/construction/assets/js/bootstrap.min.js	(from http://demos.zozotheme.com/construction/)
15:37:54	4744/4744	---M--	200	added ('OK')	application/javascript	date:Mon,%2021%20Mar%202016%2002:11:28%20GMT	http://demos.zozotheme.com/construction/assets/js/site.js	D:/My%20Web%20Sites/construction_lp/demos.zozotheme.com/construction/assets/js/site.js	(from http://demos.zozotheme.com/construction/)
15:37:55	8182/8182	---M--	200	added ('OK')	application/javascript	date:Fri,%2014%20Aug%202015%2010:20:46%20GMT	http://demos.zozotheme.com/construction/assets/js/wow.min.js	D:/My%20Web%20Sites/construction_lp/demos.zozotheme.com/construction/assets/js/wow.min.js	(from http://demos.zozotheme.com/construction/)
15:37:59	21068/21068	---M--	200	added ('OK')	application/javascript	date:Tue,%2001%20Sep%202015%2008:19:09%20GMT	http://demos.zozotheme.com/construction/assets/js/jquery.validate.min.js	D:/My%20Web%20Sites/construction_lp/demos.zozotheme.com/construction/assets/js/jquery.validate.min.js	(from http://demos.zozotheme.com/construction/)
15:38:01	41095/41095	---M--	200	added ('OK')	application/javascript	date:Tue,%2001%20Sep%202015%2008:18:47%20GMT	http://demos.zozotheme.com/construction/assets/js/jquery.form.js	D:/My%20Web%20Sites/construction_lp/demos.zozotheme.com/construction/assets/js/jquery.form.js	(from http://demos.zozotheme.com/construction/)
15:38:01	95786/95786	---M--	200	added ('OK')	application/javascript	date:Fri,%2014%20Aug%202015%2010:20:46%20GMT	http://demos.zozotheme.com/construction/assets/js/jquery.min.js	D:/My%20Web%20Sites/construction_lp/demos.zozotheme.com/construction/assets/js/jquery.min.js	(from http://demos.zozotheme.com/construction/)
